,reply_eastar
0,제주에서 김포로 돌아오는 비행기로 이스타항공의 ZE252 에 탑승하게 되었습니다. 가격이 너무 저렴해서 혹시나 했지만 기장님 랜딩이 좋아서 만족스러웠습니다.
1,저가항공입니다. 2만원대에 김포에서 제주까지 살 수 있습니다. 비행기 좌석이라든지 서비스는 사실 기대하기 어렵습니다. 그래도 가격이 싸니까요.
2,저가 항공을 이용하는 것은 문자 그대로 저렴한 항공료 때문입니다. 이를 알고 구매를 하는 것이고 구매 시점부터 비즈니스 좌석이나 대형 항공사와 같은 식사 서비스가 없음은 알고 구매 하는 것입니다. 잘 고르면 베트남까지 KTX 고속 열차 정도의 비용만 내고도 갈 수 있는 기회가 있지요. 인천에서 베트남까지 이동 서비스만 제공 받는다고 생각하고 아주 저렴하게 다녀 왔습니다. 아낀 비용은 현지에서 나를 위한 관광 비용으로 사용하였습니다.
3,"LCC 임을 가만하더라도 의자와 의자 사이의 간격이 좁습니다. 단, 유상으로 판매하고 있는 앞줄의 좌석을 구매한다면 이코노미 석이더라도 세미 비지니스와 같은 편안한 비행이 가능합니다. 특히 맨 앞쪽 DEF열은 장거리 비행에서 필수입니다."
4,"성수기 여행 앞두고 이스타항공을 선택했는데, 딱 그 가격에 맞는 스케쥴이었습니다.
약 40분정도 지연이 있었고. 저가항공인지라, 기내서비스는 없습니다. 간혹 동남아 노선에 엔터테이먼트가 들어가있다고 하는데 예외기종이라 아쉬웠습니다.
이스타항공 딱 그 가격에 이용하면 또 이용할 의향이 있습니다."
5,제주여행을 계획하고 날짜를 잡았는데 하필태풍이 북상중이었다. 제주인근에 태풍이 머물고있어 타항공사들이 모두 결항시켰는데 이스타항공만이 탑승수속을 밟고 대기실에 몇시간씩 승객을 볼모로잡아놓고 있었다. 여행사에서 잡아놓은 항공사라서 어쩔수 없었지만 다시는 이용하지 않을것이다.
6,연착이 다반사라 걱정했지만 출발때 30분 늦게 출발이면 다행이다 싶었음. 갈때는 운이 좋게 비상구 좌석을 받았으나 비상구 좌석도 좁은 편이였음. 살인적인 의자 간격에 경악을 금치 못하겠음. 이스타는 국내선도 안탈것임
7,"퇴근 후 출발하고, 새벽에 인천으로 돌아오는 노선
피곤할수밖에 없는 시간대 이지만
이용객이 많지 않아서 맨뒷자리에 누워서 올수도 있다

이 시간에도 생각보다 블라디 공항에는 많은 사람이 있어서 무섭지 않다

이스타항공은 기본제공 사항이 거의없지만, 딱 필요한 것들만 제공되었다"
8,"하노이-인천 구간 연착도 없었고 저렴하게 잘 다녀왔어요. 갈때는 비엣젯항공 타고 갔는데, 같은 저가항공이라도 우리나라 항공사가 그래도 더 좋은것 같아요."
9,"좌석은 좁았지만 짧은 비행과 LCC의 저렴한 가격을 생각하면 탈만했습니다.
기내수하물을 10kg이라고 생각했는데 7kg이었습니다.
일본발 인천행에서 오버한 무게는 추가금을 물어야했습니다. (1kg당 1000엔)
LCC는 불필요한 요금 지불을 막으려면 티켓의 요금조건을 항상 잘 확인해야합니다...
기내서비스 시 물은 요청시에만 제공됩니다.
국내 다른 LCC의 경우 물은 이륙후/착륙전 2번 서비스해주시던걸로 기억하는데 오사카로 갈때는 아예 요청시에만 서비스되었습니다. 인천으로 갈때는 착륙전에 트레이에 물 서비스 있었습니다."
10,나트랑을 알아보다보니 항공이 밤비행이 많더라고요. 그래서 이스타항공을 택했어요. 가는 시기가 비수기라 그런지 좌석이 남아있었어요. 비행기소음과 함께 승객의 소리로 인해 요번에 비행은 처음은 정말 최악. 그러나 집으로 가는 길에 소란피우던 승객과 만났으나 조용해서 저도 잠에 푹빠지고 공항 도착해서 눈을 뜰정도여서 추천합니다.
11,"저가 항공이라 서비스 비행기 컨디션은 기대도 안했지만 출발시 연결선 문제가 있다며 연착 3시간이더니 돌아오는 비행기도 1시간 연착하더군요.
진짜 최악의 스케쥴이였네요."
12,저가 항공의 장점이자 단점은 뭐 당연하니 말할 필요도 없다. 그래도 저가 항공이지만 승무원들의 접객 태도 정도는 좀 더 상냥하면 어떨까 싶다.
13,"그냥평범했다 다른 저가 항공사랑 비교해서 딱히 특별한점 없었다
그냥 제시간에 출국하고 귀국 하고 그냥 평범 그 자체이다"
14,"인천까지 안가도 되고, 공항이 복잡하지 않고, 너무 편리하네요...청주 오사카 구간 이스타항공은 좌석도 좁지 않고 짧은 거리에 적합한거 같아요..자주 이용 할듯...단지 지방 출발이라서 그런가 할인율이 좀 별로 예요..그래도 인천이동보단 좋아요...기내에서 물 한잔 주네요..나머지 음식은 별도 구매 입니다..면세품도 사실거면 미리 주문하셔야 살수 있어요"
15,"편도로 표를 따로 구매해서
갈때는 이스타 올때는 진에어를 이용했습니다.
정말... 좌석도 좁고, 다닥다닥 닥장같고
흔들림도 심하고..
저가항공사중에 제일 별로입니다.
티웨이는 기장이 운전을 잘하는 편이 많고
에어서울은 좌석이 넓은 편이죠
진에어는 서비스가 훌륭한 편이에요
근데 제주항공이랑 이스타는 정말..
(그나마 제주항공은 사전체크인이라도 되죠)
어휴... 그래도 승무원님들이 노력해 주시는것은 알겠지만...
비행도 힘들고 좌석도 힘들고 가격메리트 때문에 이용했지만
비슷한 가격이라면 돈 조금 더주고 다른항공사를 이용하겠어요"
16,"계획없던 여행 스케쥴로 이스타항공 처음 보았는데....
1시간 반 정도 지연 출발로 당황했습니다.
금액이 착하기 때문에 다른 큰 기대없었고 서비스는 다른 항공사보다 좋지도 나쁘지 않았네요~ 지연 출발은 제가 운이 없었던거겠죠~"
17,태풍 영향이 있는 날짜에 여행을 다녀와서 그런지 연착이 심하게 됐습니다. 그 외에 비행이나 서비스는 좋았고 친절했습니다.
18,"이스타항공을 처음 타 보았는데 극과 극이네요
ZE643편은 낡은 기종에 1시간이나 지연 출발했고 ZE644편은 그나마 청결하고 깨끗한최근에 도입한 듯 했는데 당연히 엔터테인먼트는 전무했고 이어폰조차 작동이 안되었네요. 기내 서비스는 딱 생각한대로 물과 입국에 필요한 서식 전달 ^^
그래도 비용이 싸니 저비용의 여행 설계에는 꼭 필요한 항공사입니다."
19,"저가항공이라서 확실히 금액이 싸요, 하지만 4시간 이상으로 날아갈 해외라면 저는 추천하지 않아요. 왜냐하면 좌석이 너무 좁기때문에 허리가 많이 아프고, 일단 서비스 자체가 기내식이 필수도 나오지 않기때문에 추가금액도 지불하면서 식사를 해야되기 때문이에요."
20,"저가항공은 처음이었는데 생각보다 괜찮은 경험 이었음.
부모님과 함께라 유료좌석 구매를 하였다. 기내식이 조금 비싼편인게 불만이라면 불만이랄까. 기내서비스도 나쁘지 않았다."
21,"항공권 가격도 적당했고 비행 동안도 편안하게 잘 이용했습니다.
지연이 잦다고 해서 걱정했는데 정시에 출발했고,
이착륙도 불안하지 않고 부드럽고 편안하게 느껴졌습니다.
좌석 공간이 다소 좁긴 하지만 비행시간 3-4시간 정도의 여행에는
가성비가 좋은 항공사라 생각합니다."
22,"마침 저렴한 항공표가 있어서 하노이가 갈일이 있어서 이용함.
저가항공에 짐을 부치지 못하게하는데 이스타는 짐붙이는것을 포함해서도 더 저럼해서 좋음."
23,"출발 시 약간의 지연이 있어 걱정했으나, 도착시간은 에정된 시간과 크게 차이나지 않음.
항공기는 청소할 시간이 부족했는지 조그마한 종이 등의 쓰레기가 보였음.
서비스, 만족도는 평균 이상"
24,"생각보다 저가항공치고는 나쁘지 않았던 비행이었습니다. 이착륙 모두 깔끔하였고, 일본이라는 짧은거리다 보니 기내식은 없었지만, 물을 제공하여 그래도 서비스를 받는 듯한 느낌을 받을 수 있었습니다."
25,"인천-오사카 간 비행을 이용했는데 가격도 만족스러웠고
기내 좌석 간 거리 등 컨디션도 괜찮았습니다.
전체적으로 무난했습니다."
26,저가항공사치고 서비스는 좋습니다 수화물제한도 좀 널널한편이고 딜레이도 별로 없는 항공사인데 비행기 기종이 좀 많이 안좋은것 같아요... 좌석공간도 좀 빡빡하고... 다른 저가항공사보다 항공기면에서는 좀 떨어지네요.
27,"한국 국적기라 그런지 기내서비스 및 청결도 저가 항공사 같지 않은듯...
정말 좋아요...그러나 15kg제안이라 다른 항공사에 비해 5kg 적어서 좀 아쉬움..."
28,수화물 갯수 제한이 없어서 헤비쇼퍼들에게는 매우 가성이 높습니다. 물은 기본적으로 제공해주며 음료나 기내식은 유료로 구매 가능합니다.
29,"수많은 여행을 해봤지만 진정한 LCC개념의 항공편 이용은 처음이었다.
물 이외의 모든 걸 유상으로 하는 게 첨이라 어색하기도 했지만 그리 나쁜것 같지는 않았지만... 그렇다고 항공료가 그리 싸다고 느껴지지 않는 건 왜일까?"
30,3-3자리 저가항공입니다. 승무원 처럼 날씬하지 않으면 화장실 오갈때도 미안한 일이 많아요.뒷쪽 화장실 자리는 정말 피해야 할것같아요. 이번엔 눈이 와서 비행기에 눈치우는 것 까지 보면서 처음으로 2시간 연착했어요.
31,아침에 도착하는걸로 일정 다 짜놨는데 몇일전에 연락와서 그 항공편에 승객이 두명밖에 없다고 전날 저녁늦게걸로 땡겼네요 ㅋㅋ 덕분에 급 하루 숙박 추가.. 선택지가 없어요. 땡겨서 그거 탈래? 아니면..어떡할건데? 정도. ㅎㅎㅎ 그리고 춥다. 비행기 안이 엄청엄청 추운데 담요를 덮고싶으면 담요를 구매해야함! ㅎㅎ;; 담요를 가져가세욜.. 그리고 비행기에 모니터 없음. 그냥 싼맛에 타는거죠.
32,"1. 좌석 : 170센티 키의 나에게는 그다지 좁다고 느끼지 않을 정도의 부족함 없음
2. 항공기 인테리어 : 비교적 상태가 좋은 듯 보임 (오래되지 않은 듯)
3. 서비스 : 물 이외에는 모두 유료인 LCC 답게 서비스라고 할 게 없음 (심지어 담요도)
4. 가격 : 연휴 기간이라서 무지 비쌌으나 타 국적기보다는 많이 쌈
- 단, 기분 나쁜 건 마치 담합이라도 한 듯 진에어가 비슷한 시간대에 추가 증편하면서
이스타의 취소수수료 (12만원)에 맞춰 가격 결정...
이건 치사해 보임(이해가 가면서도 둘다 얄미롭다)
5. 비행 시간 : 지연없이 도착"
33,"연휴직전이라 이해는 하지만
3시 25분 출발인데 4시 10분에 출발하는 것 때문에 일정이 완전히 틀어졌네요 ㅡ.ㅡ
중간중간 방송이라도 많이 해주면 모르겠는데
그냥 공항 사정으로 지연되었다고 하니 갑갑하더군요. 이런 것은 좀 적당히 해줬으면 좋겠어요."
34,"전체적으로 나쁘지는 않았으나 저가항공으로 조금이나마 간단한 간식을 줬으면 하는 바램...
보통이였다...."
35,"저렴하게 잘 다녀왔습니다. 기내 환경은 노령화된 비행기라서 좀 노후되고, 서비스 음식들은 많이 저렴한 내용입니다. 다 바란다면 대한민국 국적기를 타야죠~~~~. 그래도 저렴하고 안전하게 잘 다녀왔으니 저는 만족 합니다. ^^"
36,"비교적 저렴한 항공권으로 제주를 왕복하였습니다.

1인당 6만원 내외로 5인 가족이 여행하였으며.. 수하물 현장추가 때문에 추가비용이 조금 발생했네요..

2인정도는 수하물 미리 추가하는게 안전하고 저렴하게 다녀오는 방법인것같습니다."
37,"이스타 타는 사람이면 딱히 비행기에 많은 돈을 투자하는 사람은 아닐 것이고, 그러니까 한 한시간 정도 지연은 용납할 수 있죠. 그런 거 빼면 딱히 불만족스러운 건 없습니다. 저가항공다운 물 한잔 마시고 면세품 판다고 한바퀴 돌면 도착할 거리니까요."
