,reply_jeju
0,"이번 태풍으로 결항 되었는데, 저가항공탓인지 아님 제주 항공의 문제인지 대응책이 아주 엉망이었습니다. 이번주 일요일 오후 6시 15분 비행기에 12시 30분 결항 사실을 알았으며 (외국 번호라 모바일 탑승 안내문자는 왔지만 결항 문자 메세지 알림톡 안온답니다 메일로 발송되서 아무 문제 없답니다.) 외국 번호라는 이유로 아침부터 제가 직접 계속 확인했습니다. 그 당시 고객센터 및 카톡 상담으로도 대체 항공편 마련 예정이 없으며 무료 변경 가능한 좌석은 다음주 일요일 같은 시간 뿐이고(일주일 뒤)다른 방법은 환불 두가지 말만 반복합니다. 저희는 외국에 살아 급하게 돌아가야 해서 다른 비행기표를 알아봐서 같은 항공편 화요일로 돌아가는 표를 50만원 더 주고 구매 하였고 정확히 7시간 후 오후 7시 15분에 대체 항공건이 다음날 오전 8시 35분에 있다고 메일이 왔네요 ~ (휴가라 메일을 확인하지 않아 다음날 아침에야 대체 항공편을 알았습니다) 처음부터 제가 물어봤을때 대체 항공편은 확실치 않으니 연락을 기다리라고 했다던지 확실한 안내가 있었으면 좋았을텐데 현재 할 수 있는 방법은 일주일 뒤 항공편의 좌석 교환 및 환불이라고 해 놓고 7시간 후에야 대체 항공편을 말하는 항공사를 도저히 이해가 어렵네요 항공사는 저렴하게 산 고객들을 환불해주고 비싼 가격에 며칠 안남은 항공권을 판매 하려고 시간을 번걸로 밖에 안보입니다. 일요일밖에 없다던 표가 화요일에도 버젓이 텅텅 빈채로 있네요 ^^;; 절대 다시는 평생 이용안할꺼 같습니다 ~

대한항공 결항때는 공항에 올필요도 없이 전화로하라고 해서 했더니 결항때 바로 대체 항공편 안내해주셨습니다ㅋㅋ 비교하면 안되는 항공사지만 진짜 차원이 다르네요"
1,"아침 5시 시간대 비행기 라서 그런지
체크인 카운터 부터 엉망ㅋㅋ
출발시간 50분전 됬는데도 그제서야 나리타가시는손님~
이러면서 뒤에서 불러서 체크인ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
여기가 대구공항이라 다행이지 다른공항이면 출국수속한다고 비행기 놓칠뻔^^ 승무원 복장 제한이 많이 풀린건 알겠는데 덕분에 서비스 정신도 많이 풀리신듯...ㅋㅋ
어떤 승무원 한분은 지나다니다가 고객하고 부딪혀도 쳐다보고 그냥가고 승객짐에 자기 허리 맞았다고 짐 올려놓다가 아아..막이러면서 10초동안 있음 물론 아픈건 알겠는데 뭔가 계속 태도가 영... 출입국종이도 거의 던지듯이줌
다른 승무원 한분은 향수 냄새가 너무 심해서 저기 멀리서 부터 코가 아플정도... 저도 향수많이 뿌리는 편이기는 한데 저보다 더심하신듯ㅋㅋㅋㅋㅋㅋㅋ... 전체적으로 답이없는듯"
2,"다시는 이용하고 싶지 않은 항공입니다 5시간이 넘는 비행이었음에도 기내식은 제공되지 않았고 음료 서비스도 물 뿐 이었습니다 콜라나 쥬스를 함께 구비한다고 해서 큰 비용이 들 것 같지 않은데 참 의문이었습니다 다른 항공에 출발 항로를 밀려 한시간 정도의 지연은 다반사였고, 좌석은 필요이상으로 좁았으며 기내 온도는 답답하리만큼 더웠습니다 승무원들 역시 비행기에서 내려 승객 욕을 크게 하는 걸 들었고 출입국 심사에서 우왕좌왕하며 일반줄에 줄을 서는 등 비전문적인 모습을 보였습니다 이정도의 기내 서비스를 감내할만큼 비행이 삯이 싼 것도 아닌 것 같아 이제는 제주항공을 이용하지 않을 생각입니다"
3,"오사카에서 2터널인데 진짜 아무것도 없는데다가 저가 항공만 세개 덩그러니 몰아넣고 식당 달랑 한개여서 줄 서고, 앉을곳도 없어서 바닥에 널부러져있고... 제 비행기는 30분, 그 전 비행기는 기약없이 지연이어서 (제가 출발할때 이미 2시간 지연 ) 난민이 따로 없었어요. 다신 겪고 싶지 않아요..."
4,"지난 10년간 전세계 비행기 다 들고 탄 기내용 캐리어도 붙이라고 함.
기내캐리어 규정에 115cm라고 규정되어 있다고 하니 그것도 잘 모르고 있다가 줄자 가지고 와서 재더니 117cm(?)라서 붙여야 된다고 하는 이상한 항공사.
스노우볼 따로 붙여준다고 해서 붙였더니 깨버리고 보상 안해줌.
싸구려를 처음 탔더니 역시 싸구려"
5,"제주항공 세부왕복 이용해본후기 .. 인간으로서 최소한의 공간은 있어야 4시간을 버티는데 이건 뭐 가슴 명치에서 앞좌석까지 한뼘하고 검지?30cm도 되지 않아요
무릎을 구부리면 짓눌리고 피면 허벅지 저리고 이러지도 저러지도 못하고 4시간 타고왔습니다
사실상 고문같았어요
승무원에게 말씀드리니 ""직접 말씀하시겠습니까?""라고 하시는데 ..이번을 교육으로 다시는 제주항공 이용안합니다
심지어 제주도까지도 안해요 돈줘도 안타요.."
6,"승무워은 친절하나 기내공기가 너무 안좋았습니다.
마스크를 쓰고 있어야했고 건조해서 물이 필요했습니다.
기내 온도가 춥거나 덥거나...."
7,"항공권을 받을때부터 추가금액 관련 좌석에 대한 안내를 먼저 받고,
추가금액없이 좌석을 받으면 불편할 수 밖에 없다는 안내와 그래서 추가금액을 지불하겠느냐는 안내가 굉장히 불쾌했습니다. 권장이 아니라 강요받았습니다.

서울에서는 추가금액을 지불한 수화물에 너무 엄격한 무게제한과 1kg로 초과로 인한 추가금액 지불을 안내받고 너무 불편했습니다.

또한 비행기 이용 중 건강상에 문제에도 판매되는 좌석에 대해 요금을 요구하는 서비스는 굉장한 불필요한 강요였습니다.
제주항공에서는 승객의 위급상황이나 건강문제 관련해서 도움이 필요할시 지불되는 금액없이는 제대로된 서비스가 어려울 거 같습니다.
제주항공은 모든 사항에 추가금액에 대한 안내가 먼저이고 그후 요청이나 사항에 대해서 추가금액 지불에 대한 안내만 받으니 정말 다시는 이용하고 싶지 않습니다.

또한 좌석이 너무 좁음. 앞좌석에서 좌석을 뒤로 접히면 숨을 쉴수 없을정도에 공간을 갖게 됨. 내 얼굴 앞에 앞좌석의 뒷통수를 볼수 있음. 일어서기도 힘들 정도의 좌석 공간임."
8,"제주에어로
김포 제주
제주 김포를 다녀본 결과

착륙이 매끄럽지 못하다

착륙할따 지면에 닿는 느낌이

자동차 과속방지턱을 시속80킬로 달려서 들이 받는 느낌이었음

착륙후 탑승자들간에 일부 소요가 있었다

외국조종사들은 이렇게 안한다느니 대형항공기는 사뿐히 착륙한다느니.

내 생각은
1.제주항공이 저가 항공이다보니
기장들도 저임금으로 뽑아서 착륙 경험이 부족한
조종사로 뽑았음

2. 저임금과 복지로 인재 분노 조절 장애가 있거나 자가용 몰듯이 거칠게 비행기를 운전함

내 예측
1.타이어 금방 닳듯.
2.LA도착 아시아나 항공기처럼 착륙실패로 바퀴부러져서 화재발생 할 수 있음

내견해
1.착륙 스킬에 감각이 있는 조종사로 대체가 필요함"
9,"지난달 마닐라 여행을 갔다가 부득이 return 하는 비행 날짜를 앞당기게 되었는데
마닐라 공항 수속 카운터에서 하는 말이 자리가 만석이라 없다며 정 필요하면 기존 요금의
4배의 추가 요금을 별도로 지불하라고해.. 어이가 없었지만 애들이 있어 일단 지불하고
탑승했는데, 비행기 안에 타서보니 정확히 20자리의 빈좌석이 있었습니다.
30년간 비행기를 타며 대한/아시아나는 자리가 있으면 별도의 차지없이 탑승 했었는데
아무리 저가항공이지만 4배 이상의 추가 요금을 자리없다는 핑계로 거짓말을 하며 강매
하는 것은 있을수가 없는 일이지요.. 귀국후 제주 항공에 연락해 얘기했으나 전화도 잘 안되고 자기들의 방침이라는 황당한 말만.. 서비스도 기내포함 최악 !! never be forever.."
