,reply_jeju_5
0,"부산에서 다낭으로 출발하는 비행시간중에 유일하게 오전출발하는 항공사입니다.
다시 다낭을 간다고 하더라도 추천드리며, 이번 코로나19사태에도 잘 버티어 주었으면 좋겠습니다^^"
1,"특가로 저렴하게 예약해서 다녀왔어요
돌아올때 시간이 변경되었다고해서
아예 늦은 시간으로 바꿔서 왔네요
피곤하긴했는데 좌석이 엄청 편한게 아니고
뒷자리에서 아이가 몸뒤척이며 툭툭치는 바람에
푹잘수는 없었네요
그래도 비행시간도 짧고 가격 저렴하게 다녀와서 만족해요"
2,"같은 노선의 진에어의 경우 좌석이 너무 좁았습니다. 무릎이 의자에 닿을 정도여서 통로측이 아니면 엄청 불편했습니다. 그에 비해 제주항공은 좌석 간격이 여유가 있어 편했습니다. 다만 진에어의 경우 간단한 스낵이 무료인데, 제주항공은 무조건 금액을 지불해야 합니다. 좌석의 편안함을 중요시하신다면 제주항공이 좋을 듯 합니다. 기내 와이파이는 잘 연결되지 않았습니다."
3,"과거 지방에서 해외여행을 가려면, 수도권인 인천공항까지의 방문으로
인하여, 여행 출발 전 불필요한 소요시간이 발생하였으나
지방공항의 다양한 해외 취항으로 인하여
여행준비 및 시간을 효율적으로 활용할 수 있어서 너무 좋습니다.
좀 더 다양한 해외 여행지에 대한 취항이 이어지면 좋겠습니다."
4,가까운 거리라 저가항공 탔어요. 승무원들 친절하셨고 음료는 물만 줘요. 저가항공 답게 군더더기 다 빼고 실속있어요. 아이들 그림그리기 이벤트 중이라고 안내해주셔서 참여하느라 지루해하지 않았습니다
5,"국내공항 출발편에선 5F, 나리타공항 출발편에선 3F 좌석을 앉았는데 좌석 간격이 좁지 않았고, 앞좌석과 옆좌석이 빈자리여서 더욱 편했었습니다. (티웨이는 정말 좁았었습니다...) 수하물 없이 간다면 저렴한 가격에 해외를 나갔다 올 수 있는 점이 좋았습니다."
6,시간대가 괜찮아서 나고야편엔 제주항공 좋아요. LCC는 한국항공사들이 외국사들에 비해 서비스면에선 단연 우위입니다. 친절하다는 일본에서도 저비용항공사들은 그저그렇고. 제주항공 추천합니다
7,"저는 2011년 처음으로 부산 홍콩으로 가는 길에 제주항공이라는 저가항공을 탔습니다. 그 이후로는 다양한 행사가 있었지만 제주항공을 타기란 어려웠습니다. 군대를 전역하고 2016년 7월 즈음에 대만으로 가는 비행기를 타면서 제주항공과 다시 인연을 맺었습니다. 그 때는 리프레시 포인트의 사후 적립을 몰라서 적립을 받지 못했습니다. 이후 오사카 오키나와 도쿄 등등 다양한 취양지를 방문하며 골드 등급으로 승급이 되었습니다. 가장 경쟁력있는 저가항공이라고 생각합니다. 저는 다양한 lcc를 탔지만, 그 중에서 제주항공을 추천하는 것은 에어카페입니다. 자신이 원하는 걸 고를 수 있기 때문에 여행에 큰 도움이 됩니다. 앞으로도 발전이 많이 되었으면 합니다."
8,제주항공으로 마카오를 다녀왔습니다. 기내식이 없지만 오히려 승무원 분들이 서비스에 더욱 신경쓰는 듯하여 오는 내낸 불편함이 없었습니다. 더욱이 출발 도착시간대가 아주 만족스러웠습니다
9,"멤버십에 가입하면 제한없이 항공운임의 5%를 정률로 포인트(1포인트=1원) 적립이 가능하고, 10회만 탑승하면 Silver+ 등급이 되어 항상 우선탑승이 가능합니다. 따라서 매주 주기적으로 국내선에 탑승하는 저같은 경우에는 타 항공사가 아닌 제주항공만을 선택하여 이용합니다. 탑승 24시간 전 모바일 체크인을 통해 좌석 지정 및 모바일 항공권 발급 가능합니다. 다만 LCC 특성 상, 아무래도 이륙 및 착륙 시 항공기와 직접 연결된 게이트가 아닌 경우가 많아 버스를 타고 이동해야하는 것은 감안해야합니다. 따라서 어린 유아를 동반하는 경우에는 추천하지 않습니다."
10,"제주-후쿠오카 노선이 2주동안만 열린다길래 타봤습니다.
제주에서는 국제선이 다양하지 않아 국제선을 타려면 서울이나 부산으로 가야했거든요.
경유없이 후누오카에 가니 45분 밖에 걸리지않는 짧은 비행이었습니다.
김포공항보다 실제 거리도 가까웠구요.
후쿠오카 처음이라 4박 5일 일정으로 짜서 갔는데
제주-후쿠오카 노선만 생긴다면 정말 맛있는거 먹으러
하루 일정으로 다녀오기에도 너무 좋을듯합니다.
제주-후쿠오카 노선 정기 운항 했으면 좋겠네요!!!"
11,"항공료 저럼하고 친절하고 깨끗하고
좌석도 요금 몇천원만 지불하면 선택가능하고
제주항공 좋습니다. 일본여행은 늘 제주항공을 이용하고 있고
동남아도 제주항공을 가급적 이용하고자 합니다"
12,"제주항공은 셀프체크인이 되어서 너무 좋아요!!
다른 항공사 이용시에는 정말 딱 2시간전에 창구오픈이되어서 면세점 구경시간도 촉박하고 인도장이라도 이용시에 불편한데, 셀프체크인으로 체크인 시간단축에~ 창구도 많이 열려서 수화물도 금새 끝내고 면세에서 신나게 쇼핑했어요! 아마 저가항공 탈때는 제주항공만 이용할거같아요!"
