,reply_jeju_5_en
0,"Low costs , just like taking a bus, sleep thru out whole trip , no need to wake for air meals.

anyway, Can't understand ppl expect full serve in short haul, you can eat at anywhere much better than the air meal, and spend ur time with ur phone or movie.."
1,"One of the great things about Jeju Air is that they are technically a budget airline but they don't skimp on anything. The ticket prices dropped recently for flights leaving Korea to Japan. I took advantage of this a couple of times. The quality of service was great and the staff was happy, friendly and helpful."
2,I took Jeju Air from Seoul (Gimpo Airport) to Jeju just want to try their airlines. Never expected is very convenient like Air Asia. Price affordable and we can choose either without baggage or with baggage (price difference subject want you choose). Price for early morning flight quite expensive compared to evening flight. I chose evening flight since its cheaper and want to save budget (hahah). I'm quite surprised during check in because i can chose any seat i want without any additional charge (first come first serve) and the staff quite helpful too. Everything good really recommended.
3,I took Jeju Air by chance so I was not expecting much. I can say I am really impressed. From booking the flight to the arrival is such a delight. Crew are very pleasant. Take off time is very quick as well. They offer very good baggage package and meal package compared to other airlines as well. I have had flown with Jeju Air twice and it the experience just kept getting better.
4,"We took Jeju Air from Guam to Osaka for vacation and looooved it!I!

Booking (tl;dr - book tickets on the APP and not online) : I have to admit, the process of buying tickets was kind of a hassle. I'm not sure if it's like this in all Jeju ticket offices, but the ones on Guam were closed when it said ""open"", and it was also hard to book tickets on the phone. It's tough to book on the website as well due to some errors and timed out connections (I tried this over 2 weeks on several computers/devices to ensure it wasn't just my browser or device and the same thing occured). BUT, it was very easy on the app. :) So I recommend you skip all these and just book straight on the app! :D

Price: We happened to get a promo deal and paid about a total of $650 USD for TWO round trip tickets from Guam - Japan. And this is not even the lowest package option; I chose one with free cancellation/more baggage/and a welcome snack. In any other airline, the price would be $1200 - $2000 USD just for that. :O

In-Person Check In: The process is very efficient and like most airline carriers so we had no hassle here :)

In-Flight Experience: On the day of our flight, the staff were SO polite and helpful and welcoming. I sprained my knee the DAY of the trip and ended up needing a wheelchair :( they took utmost care of making sure I was okay on the wheelchair, on the plane, and getting off the plane. I booked a package where cancellation was free, but it also came in with 2 checked pieces of baggage and a welcome snack. Let me tell you, those welcome snack boxes are HUGE and can fill you up just like a meal. So much that when our actual ordered meal arrived, we were already full from the snack lol. And they are delicious!! My husband and I both enjoyed the big muffins and orange juice we got going to Osaka, and the yummy tarts going from Osaka to Guam. The seats are also very comfortable, pretty roomy and the overhead bins have significantly larger room/space than most other airlines I've taken...I was shocked at how our checked luggage slid all the way to the back and there was STILL space left in the front.

I honestly have to say that the service, seating, food and everything (with the exception of the initial booking process) was actually even better than service I've received from other higher-priced airlines!! And this is a budget airline. I would SOOO take this airline again. Thank you, Jeju Air!!!"
5,"I have used to Jeju Air when I traveled to Seoul during Golden Week of this year, and booked again for December with a buddy of mine. Cheap and good service especially from Tokyo, cant wait to use their services again!"
6,"I am a frequent traveller and I never usually review airlines because for me there is a different experience on each flight whether budget or not. And I never really choose between budget or not because I care more about the time, convenience, distance and location. It was our first time to fly from Tokyo to Seoul and we have several choices and most are very expensive especially the non budget airlines but luckily we found one that's right in our budget and perfect time - Jeju Air. Departing Tokyo at 1810 at Narita's T3 we expect to arrive in Seoul at 2105. It was a full flight and our check-in took around half an hour but it was pretty smooth. The flight is not delayed and we still arrived on time. What caught my attention is their food. Since it's dinner time for us we have to eat. Checking their menu it was extensive - combination of Korean and Western options and many set meals to choose from. I found what I like - Bibimbap only this time it's vegetarian which is ok for me. At 5000 Won (5 USD) what more can I say - it was a miracle. For this price I could only buy chips in other budget airlines. The water is equally cheap - just 2000 Won for a Sparkling water. The Bibimbap is super tasty, fresh and hot off the oven. I finished each and every inch of it. The Gochujang sauce is divine, spicy, salty, sweet and savoury. This dish can easily match 5 star airlines and fine dining restaurants and will win. Hands down the best dish I ever had in any airlines I've tried. I highly recommend Jeju Air when visiting Korea you will have the best Bibimbap dish up in the air. My flight number is 7C1103 - kudos to Jeju air and its flight and crew."
7,"First time to use a budget airline going to Seoul and I am very happy with Jeju Air's service. In my case, they deserve the best budget air of South Korea. There were no delays, airplane seats are OK, flight attendants were helpful, pre-ordered food was OK, great selection of in flight food, there is inflight sales, and terminal at Seoul is same as the big airlines, so airport service was OK. I will definitely use this airline again."
8,"Great discount airline, not the cheapest but almost. Reliable, friendly people, no hassles, on time flight, straightforward process. Seems more personal than many other discount airlines. Really appreciated English speaking, polite, efficient staff. They seemed really committed to service, just like a good Big Airline. We paid extra for boarding priority and roomier seats, which is almost always a good idea for any flight over 90 minutes. Nice array of destinations, especially regional Korean places, and a generous frequent flyer program. People in the region would do well to hook up with Jeju and explore widely. Seats going from Korea to Japan and vice versa, like our itinerary, must be a particular deal because of Koreans avoiding Japan now. I"
9,From Seoul to Tokyo I actually experienced the smoothest short-haul flight ever! Compliments to the pilot!
