,reply_jeju
0,They only catered korean passengers and ingnored me the whole time. I asked a couple questions and just shrugged at me. Very impolite. Will never recommend this airlines at all
1,"They didn't let me check in on Friday and turned me down saying I need a Korean passport to do so. They wouldn't explain anything, had to wait until Monday to be able to call their English helpline, an agent told me that they switched their commercial flights and all existing bookings to special flights, with no cancellations or notifications to their non-Korean customers.

Very unprofessional, life-changing to the worst. If they were decent enough to send me an update, I would have booked my essential flight with someone else or used Japan for transit."
2,"Wouldn't let me on the plane and refused to issue me a ticket at the gate because I didn't check-in at the counter OUTSIDE of the airport when I was having a transit. I flew from Toronto and was having a 5hrs transit in Seoul to go to Hanoi. I didn't have a visa to even enter the country, how could I go through custom to get my tickets and go through security again???? Staff was super rude when trying to talk to me, felt like she was talking down on me."
3,"Do not fly this airlines unless you from korea. I flew from seoul gimpo to busan and the staff in check in counter refuse to give me receipt/tag checked baggage and asked me wait for 5 mins(i understand that this is cumpulsory for xray baggage). What make me feel racist and feel offended was, all the korean passengers have checked baggage and they believed them and just gave them the receipt tag without hesitation. Just because im not holding korean passport(im singaporean) and they dont believe me. Racist!"
4,"Don't trust, no service, don't operate like western airlines extra sneaky restrictions designed to steal your money"
5,"Horrible air line!

My wife and I were extremely disappointed with the service at Hahn Air Systems (JEJUair), beginning with they are not listed on the ramp so our taxi driver couldn't find it.
They limited the suitcases to 1 per person with a maximum weight of 15 kg, and for an extra bag which weighted exactly 15 kg the charged us the outrage amount of $195.00 US dollars. In top of this they make us buy a return ticket more expensive than the one we bought from you, $309.00 US dollars, claiming that immigration in Taiwan will ask for it, and they never did as I told them they wouldn't since I had lived in Taiwan and showed them my expired Taiwanese residence.

In addition, the girl at the counter provide and awful service, unprofessional, we believe she should not be working facing the public as well as the supervisor they even laugh multiple time at our predicament.

After paying the $504 USD extra we finally did our check-in, then we were asked by the supervisor to sit and wait for 3-5 minutes for our luggage inspection. That wait took longer and suddenly, just 5 minutes before our gate closed, a young lady from Jejuair appears to rush us to the security entrance saying that we were late, even though we got to the airport 2 h and 30 min ahead of our departure time.
The stewardess were not welcoming and just gave us a half cup of water after we asked for it, on a three hours flight. A for entertainment, food or drink services, there were not offered at all. Jejuair is not a recommended airline to be taken by anyone.

To put the ice on the cake it is imposible to find a email address where to claim refund for a ticket or a costumer service.

Sincerely,

Victor Garrido, MD"
6,"Terrible!!!!!!!!! Economy or not, they are below standards of even other ""budget"" airlines worldwide.
First, I flew from Korea to Japan. That's an *international flight*, which usually has a limit of 23kg for luggage. Not Jeju, they put it at 15kg. (For my fellow American travelers, imagine if Southwest changed their limit from 50lbs to 30lbs. Bogus.) What the f#@$ ?! That's even lower than the 20kg that other domestic flights in Asia set it at (for example, in China, Japan). So how is the price so cheap? They screw you on your luggage. Just to give you context, I'm on a three-week business trip in the middle of winter. That means sweaters, jackets, bulky clothes. A large, long-term-trip suitcase is standard to fit 23kg/50lbs. This is my first warning for foreigners who are taking long trips!
Second, there was absolutely no way to check in online or even with the app. I was ok when I got to Incheon airport at the kiosk, but I was one of the lucky ones. I saw another group of foreigners who couldn't even use the kiosk. The Jeju website and app are absolute crap for this.
Third, they made up bogus rules to not let me bring an already paid for coffee on board. ""No hot drinks allowed."" Sorry, but that's bull. **No airline ever has *ever* told me that.** Moreover, there's no law or regulation that states this, or else ALL airlines would be telling us this! (My flight experience is including in the US, Europe, and Asia.) So I had to chug down my hot coffee before I boarded the flight.
Fourth, all they give you is water. This is how I decided to title my review. It is just like Spirit airlines in the US, and that's just sad.
Fifth, they were too inept to check my luggage all the way to my final destination (my next legs of the trip switched to Japan airlines). So I had to get my luggage and check in all over again, go through security again, etc. Good thing I had a long enough layover in Osaka. Again, keep in mind I'm a seasoned traveler and I've had to fly multiple airlines for work before, none of which, were too incompetent to check luggage all the way through.
If you're hard up on cash, by all means, fly this crap airline, but you're probably going to pay the same fare as a regular airline if you want to bring regular luggage and eat/drink anything besides water on board.
Also keep in mind I didn't choose this airline. It was booked by work. On the plus side, now I know to avoid it at all costs."
7,"Took Jeju Air from Cebu on Oct 31st and return flight was Nov 3rd. Flight was full. It was a 4+ hours flight. Nary a small snack or water offered.
Would have been okay but it was too warm inside the cabin and really uncomfortable, wished they put on the air condition or cooling system. Other passengers also commented on this.
I understand it is an economy airline but at least they make their passengers comfortable too."
8,"Freaking online check in is a mess. I never thought an airline carrier would have such a bad website or experience. No reaction in many pages, translated only in parts, and very confusing navigation.

If the product/IT team is reading this, you have a lot of work to do.
The UX is awful and super confusing. It really shouldn't be, please get your website fixed, it is shameful in this digital age to have such an awful check in experience."
9,"I registered as member with its App, it disallowed me to input more than 1 word under “Given Name” and there is no place to input my middle names. Tried to buy ticket, no place for middle names. Asked the one-on-one chat with its web-site, the staff said middle names are not needed and can still fly with my first and last names as passenger. So I bought and issued the ticket with only my first and last name. At the airport, I was not allowed to fly without my middle names on the ticket because my first and middle names are together under “given names” on my passport. The staff said “Middle names” means there is a separate field on the passport that says “middle names”. If all under “given names” then all those names must be on the ticket as the passenger’s name. I ended up having to buy another ticket. Tried to refund the original ticket, I had to pay cancellation fee. Tried to file my complaint with the airline, it is like talking to my hand."
