,reply_jin_5
0,"원하는 좌석을 말하는데 승무원분이 바로 불편한 곳이 있냐고 몸이 아픈지 물어왔습니다.
아버지께서 힘들어하시는걸 알고 바로 맨 앞자리에 자리 배정을 해주셨어여
기내수화물 무게도 넉넉해서 면세품을 여러개를 받아와도 무게 걱정이 없었습니다.
사실 승무원분이 넘 예쁘셔서 샤방하게 비행기 타고 왔어요~~♡
돌아올때 일반석일때 자리 간격을 보니 넉넉한 공간이라 진에어만 이용하고 싶어졌습니다."
1,"말 많은 항공사라 탑승 때 살짝 걱정이었지만, 대만족이었습니다. 체크인도 타 저가항공사와 달리 언제든 가능해서 일찍 체크인하고 놀았습니다. 승무원들이 아주 친절하시고, 좋았습니다. 2월말 3월초 성수기 때인데 표도 늦게 사서 매우 비싼 티켓으로 저가항공 타고 밥이나 음료수도 못 먹어서 살짝 속상했지만 ㅎㅎ 그래도 좋은 경험해서 진에어 마음에 듭니다. 기회 되면 또 탈 의향 있습니다."
2,하와이 비행 후기입니다. 진마켓으로 45만원에 구매했습니다. 거의 동남아 갈 가격으로 구매했는데 가성비정도가 아니라 이가격에 이정도면 무조건 또 갑니다. 콜벨눌렀을때 승무원이 바로바로 오지는 않았고 기내 비행중 이벤트? 같은게 많아서 제대로 자기가 힘들었어요 계속 불켬... 좌석은 넓은편입니다. 60열 이용했습니다. 성인 남성분이 앉아도 무리없을 정도로 넓었고 기내식은 맛있었습니다. 다만 잠을 못자서 안먹힐뿐
3,"항권 티켓팅을 1:20분 이전에 티켓팅한후에 보통처럼 잠시 담배및커피한잔을 먹으려 아래층에 내렸갔다가 올라오니 입국심사대에 엄청난 인파가 중궁사람이 500M 이상 줄을 서고 있음...우리는 먼가 잘못됬다는 느낌으로 줄을서보지만 도저희 시간안에 갈수 없다는 판단이슬때가 바로 보딩타임 10분후... 그래서 진에어 창구 여 직원에게 이런 상황을 예기도 하기전에 상황이파른 직원 벌써 알고 진원용 심사대로 인도 친구와 나는 승무원과기장이 심사받는 직원용 심사대를 거쳐 중국사람의 양해를 구한뒤 입국 심사를 무사희 통과후 트램을 이용해서 2터미널로 이동하는데 직원분이 잡으면서 티켓을 확인후 방향을 알려줌...이것또한 직원분이 무전으로 알려준것임...트램을타고 비행기 게이트를 타는쪽에 가니 직원분들이 마중나와서 확인후 바로 들어보내줌...그때가 출발 2분전...이렇게 직원분에 도움으로 빨른시일내에 도착한것 처음...
외국에서 비행기 노치면 어떻게 하나 했는데 역시 서비스는 직원분들부터 시작하는걸 우리는 잊고 있었던거 아닌가 했네요...진에서 간사이 공항 직원분들께 진심 감사합니다..."
4,"승무원들이 친절했습니다.

기내식도 먹을만 했습니다.

어린아이들이 많이 탑승했습니다. 승무원들이 아이가 울면 바로바로 체크해주었습니다."
5,"저가항공 중에 큰 비행기가 편성이 되어, 기내에서 불편함은 없었습니다.
특히 간단한 기내식과 물을 제공하기 때문에 다른 저가항공에 비해 낫다고 할 수 있어요.
또한 아침 비행기이기 때문에 다낭에 도착하면 오전 11시 정도로 첫날부터 하루를 벌 수 있다는 장점이 있습니다.

저가항공이기 때문에 좌석의 협소함은 감안하셔야 합니다. (개별적인 차이가 있음)"
6,"저가항공치곤 좌석앞뒤간격도 넓은편이고, 삼각김밥이긴 하지만 간단한 요기거리도
나오고 괜찮았어요. 다만, 30분정도 지연은 기본인듯 합니다."
7,항공권도 저렴하게 샀는데 승무원 분들도 너무 친절하시고 짧은 비행이지만 간단한 기내식도 나오고 좋았습니다! 재치있는 기내방송도 좋았어요. ^^
8,"한국에서 오키나와, 코나키나발루에 갈때 jin air를 이용했습니다.
아이가 있어서 제일 앞자리를 부탁드렸고 대부분 제일 앞자리 아용이 가능했습니다.
승무원분드로 친절하고 좌석도 불편함이 없었습니다."
9,"다른 LCC에 비해 체계적으로 잘 정비되어 있다는 느낌을 받는 곳. 저가 항공사에 서비스는 무엇을 기대하겠나 싶지만 필요한 것을 요청했을 때 정확하게 반응하는 것 같은 작은 흐름에서 차이를 느낄 수 있었다. 특히 타 LCC와는 달리 기내식을 무료로 제공하고, 특가 운임에도 수하물 1개 위탁이 무료라는 것도 빼놓을 수 없는 장점.

단점이라면 도심공항터미널을 이용할 수 없고, 모바일 체크인도 지원하지 않는다는게 아쉽다."
10,"짧은 비행이었지만 편안했고 승무원들의 청바지 유니폼이 인상 깊었습니다.
티켓 꼬리에 제주도에 위치한 이마트에서 오만원이상? 구매하면 몇천원 할인해주는 쿠폰이 붙어있어 바베큐거리 구매하면서 잘썻습니다."
11,"저가항공을 타고 장거리비행을 할거라곤 상상을 못했습니다. 하지만, 높은 서비스에 별 다섯개를 주고싶습니다. LCC 항공사로 무료 수하물이 제공되는 점, 그리고 기내식이 제공되는 점을 제일 크게 별을 주고 싶습니다. 좌석은 조금 좁은 편이나 중간 중간 승무원들과 함께하는 요가는 특별한 기억을 남게 했습니다. 모니터는 없지만 진에어서 유료로 제공하는 엔터테이먼트 역시 괜찮았다고 생각합니다. 연착도 없었고 편안한 여행이 되었습니다."
12,"다른 저가항공들에 비해 수화물 혜택있고 간단하지만 기내식도 주는 진에어 너무 좋아요 ㅎㅎ
늘 진에어만 애용하고있습니다.
이상태로 쭉~~가주세요 늘 잘쓰고있어요 ㅎㅎ"
