,reply_jin_5_en
0,"We flew Jin Air in 2017 from Seoul to Osaka and had never heard of this airline when booking. The price was lower than anything we had seen so we figured why not and booked it. Anyway, after a short stay in Seoul, we got on the train to ICN and seriously underestimated how long it took to get to the airport from the city and arrived at the check-in counter about 20 minutes before our flight was supposed to depart – normally at any other airport in any other part of the world, this would have meant that we missed our flight. But upon arriving, sweating and short of breath from running to the check-in counter, they still let us check in!!! We were also upgraded to one of the seats in the front (without asking for it) of the plane and got personally escorted through security and walked to the gate by the kindest agent we have ever encountered.

When we arrived at the gate, we noticed that they were still boarding and there was a small line when we arrived. We got on the plane and the massive 777 we were on was pretty empty and noticed that we were 2 of the 3 people seated in the front of the plane. It felt like we were flying private and it was wonderful. Sooner than we knew it, we were taking off and it was a short but comfortable flight to Osaka.

While it was absolutely our fault that we were late (and we were very apologetic), we were incredibly impressed by their customer service and kindness. If I ever have the chance to fly Jin Air again, we absolutely will."
1,"Crew were extremely kind and attentive throughout. The safety/emergency instructions booklet were illustrated with humorous comics making you actually enjoy reading them!
Also, most budget airlines on a short flight offer nothing - sometimes you even pay for water. Jin Air will give you a small cup of tea if you ask for it~"
2,"JinAir is the best! We got very affordable tickets and in turn had low expectations. However they were great! We brought our bags on (2 bags each under 10kg) for free. Seated together for free. We even got food for free. Safe ride, great staff. Highly recommend!!"
3,"Hi use this for return flight for Shanghai-Jeju-Shanghai. My Jeju-Shanghai connection was cancelled. The staff at Jeju handled it very maturely. They were authentic and firm. They not offered any hotel or assistance, but very helpful booking hotel and negotiating as per specific need of customer. Next day morning - same staff was working after just 6 hour break for alternate flight. The staff really carry ownership above and beyond. Its budget airline but no-frill was not at all visible in their employees. Thank you for building my trust."
4,"We were surprised to receive free food and water which was a great surprise, the staff was friendly, check in easy, no issues with carry on baggages, flight had no delay. We would fly again and we recommend it"
5,"I had an awsoem experience travelling on this airline. The staff are friendly and courteous! The flight itself was a good one. There was some turbulence, however, the pilot handled it like a pro, for the most part the ride was a smooth one. the seats are extremely comfortable and there is enough leg room. I definitely will be taking this airline again."
6,"This is my first time to fly with this airlines, it's an economy flight but free luggage loaded free for 15 kg. and free meal for everyone that I didn't notice before. The package are cute and good taste. If I have to fly to Korea again, this airlines will be in my list^^"
7,There is no food on flight feel got cheated for domestic flight! But there is pretty korean air stewardess very polite and friendly much better than tway Stewardess! Feel excited to take flight back to Seoul to continue my trip
8,"Having made up to a dozen flights with Jin Air over the last 2-3 years, I suppose I have become somewhat of a 'frequent flyer' with the airline. Most of my previous flights with Jin Air have been relatively short hops of between 30-mins and 1-hour duration from South Korea to the Japanese mainland, but this longer 2-hour flight to the southernmost Ryukyu Islands was nonetheless equally satisfactory.
A number of airlines offer budget flights from Busan to Okinawa and my selection of Jin Air was based on a number of factors including price and convenience. Whilst they continue to meet or exceed my expectations, they will continue to be my 1st choice on those routes."
9,"Another lovely Asian airline, so the service was amazing as well as the food served. The crew was very kind and professional. Really enjoyed the flight. Also the check-in was smooth and simply perfect."
10,"We booked our flight to Jeju online with Jin Air after doing our research. Lots of budget airlines flying to and from Jeju everyday but Jin Air seemed to have the best deals then. Booking and checking in online was easy. However since we had two children we, had to check them in at the counter in Gimpo and Jeju Airport. The staff at the counter and onboard were pleasant and friendly. Only thing is that they are very slow in answering queries via emails.
However, they are a good airline to fly with."
11,"An economy airline with very high standards of its staff.
Check-in and on-board teams were pleasant, helpful, professional and efficient. They went out if their way to solve a connection problem and, were thoroughly pleasant to deal with.
If l have to find a negative... it would be the casual dress code for cabin crew. Difficult to discern them from passengers and, as safety is their prime role... they lost some impact.
Very impressed with JinAir. I highly recommend them. The Best budget carrier l have flown with."
12,"The attendants are smiley and helpful. Food is delicious, though we only had simple cold snacks. Great budget airline!"
