,reply_tway_5
0,저가항공사들이 많이 있는데 그 중에서 티웨이는 기체도 괜찮은 편이고 승무원들의 서비스도 편안하고 괜찮습니다. 추천합니다.
1,"안녕하세요
9월에 일본 나고야출장을 가게되어 티웨이항공이 시간도 맞아서 저비용항공사를 이용했는데 한국인 여행자들이 거의 전무하여 비행기가 텅텅비어 운항하게 되었습니다
손가락으로 꼽을수 있을만큼 비행기 이용객이 적어서 나고야행 비행기가 없어지는 것이 아닐까 걱정될 정도입니다"
2,자주 잉요하는 항공사로 노선이 적절절해서 이용하고 있음. 항공사 직원들의 서비스가 매우 만족스러움. 자격대비 만족도 높음.
3,"날씨는 매우덥고 습도도 높았지만 가성비 좋은 여행였네요
베트남 음식도 제입에 딱 맞았고.. 사람들도 친절히 대해줘서 좋은 추억 많이 만들었네요"
4,"좌석이 약간 좁긴 하지만, 국내노선이나 해외단거리노선(일본) 갈 때에는 불편함을 느낄 시간도 없이 금방 착륙해서 불편함 없이 탑승할 수 있습니다. 물 한잔도 안주는 저가항공사도 있다는데, 승객 모두에게는 아니지만 원하는 승객에게 물도 주십니다. 승무원분들도 정말 친절하시고, 저렴한 가격에 이용가능해서 좋았습니다."
5,"약 4시간 가량 걸리는 저가항공 치고는 오래 걸리는 비행이였지만
큰 불편함 없이 비행을 하였으며, 저가항공 특성상 대부분 서비스는 유료이지만,
기본적으로 제공되는 서비스는 만족"
6,"비행기가 조금 작아서 기류에 영향을 받는 것 빼고는, 기내 음식과 서비스 모두 좋았습니다.
총 어른 4명 아이 4명이 었는데 기내식도 아이들이 좋아하는 것으로 선택 할 수 있었네요~~"
7,"벌써 작년이네요
미국깄다온지 1달만에 다시 도쿄갔습니다.
마침 대구-도쿄 취항한지 얼마됏다고 얼리버드 항공권이 나오더라구요 이따싷어 다시 방문하게됐어요.
그때는 위탁포함이라 저렴한가격으로 편리하게 이용할 수 있었네요.지금은 LCC항공사들이 위탁불포함이라 좀 아쉽긴하지만요"
8,"프로모션 기간에 저렴하게 나온 항공권이 있어 구매하고 이용했습니다.
가격이 매우 저렴하고 훌륭했습니다.~
특별히 나쁘다던가 개선해야할 점이라던가 하는 것은 없습니다.
서비스도 친절하고 좋습니다.
저가항공을 이용하실때는 해당 항공사 사이트에 가셔서 직접구매하시는 게 좋습니다.
처음에는 그걸 몰라서 좌석선택과 같은 문제 때문에 고생했었네요.~
좌석 선택시 유료 업그레이드가 있습니다 . 이용하시면 조금 편해지실수있어요~
아시겠지만 기내 영화라든가 그런거 없다는 점~ 아시죠?
타시기전 심심하지않을 소소한 오락거리 준비하시고
미리 식사하셔서 배 채우시고 타시면 됩니다.
물은 잘 주오니 ~ 마니 드셔도 됩니다.~"
9,"티웨이 항공으로 대구 출발 세부행 이용해봤습니다. 돈 추가해서 최전방 유료 프리미엄 좌석을 구매해서 이용해봤는데, 일반 좌석에 비해서 여유공간이 상대적으로 편합니다.
부담 크게 안되신다면 티웨이 이용시 유료 지정 죄석 구매도 나쁘지 않네요."
10,"저가항공은 역시 싼맛인듯 ㅎ
여행삼매경애 빠진 요즘 항공료를 아껴야 여행지에서 두배로 즐길수 있다는것!!!
서비스나 시설은 비슷하다면 포인트적립을 배제할정도로 싼가격에 표가 나왔다면 망설임없이 겟잇!!!
여기저기 다녀본결과 대만은 티웨이 일번은 진에어가 갑인듯~
그리고 언제나 내짐은 소중하기에 위탁수하물에는 조심표시 달아주는 센스~

근데 이스타랑 공동운항하지만 이스타는 비싸고 티웨이는 싼이유가 뭘까?!?!"
11,"수하물이 없어 줄도서지않고 바로 발권 받을수있었고, 기내수하물반입도 까다롭게 검사하지않으시더라구요 . 물도 주고 서비스도 친절하고, 30분 정도 딜레이가 되었는데 기장님이 왜 연착이 되었는지도 상세히 설명해주셔서 아주 만족스러웠습니다!"
12,정말 좋았습니다! 비록 가격이 할인받지 못할 때 사서 비싼 가격에 갔지만 그럼에도 편안한 좌석에 친절한 서비스에 물도 나눠주시고 정말 좋았습니다!다음에도 이용하고 싶어요~
13,가족여행인데 저가항공이라서 염려스러웠는데 티켓팅 할때 대기시간이 긴것 빼고는 모두 만족스러웠습니다. 공간이 좁은 것은 어쩔수 없겠지만 서비스가 무척 친절하고 물을 줘서 좋았습니다.
14,"특가가 떠서
부모님과 누나가족이랑 대가족이 이용했음에도
메이저 항공사 2사람 정도의 가격밖에 나오지 않아서
엄청 저렴하게 잘 타고 지연되지 않고 좋은 경험을 했습니다.
다음에도 저렴한 특가가 뜬다면 다시 이용할 의시가 있습니다."
15,"대구에서 거주하기에 대구발 항공사들이 좋은데, 이 항공사는 대구에서 가장 많은 국제선 항공편을 출발시키고 있음. 심지어 가격도 다른 저가항공사에 비해 저렴하게 나오는 경우도 다수 있다. 또한 다른 저가항공사들에 비해 어떤 운임이던 무료수화물을 주기에, 더욱 좋은듯 하다."
