,reply_tway
0,"I need to change my name but after calling them many times, they said cannot change name. They told me to cancel but actually cancel instruction is not provided and finally I cannot cancel my ticket to revoke my money. The worst service and booking system I have ever seen. Tway should be stopped from doing bussiness. Terrible inpression. Everyone should never touch Tway if you don't want to be regretted and disappointed, angried, tired of a Korean airline"
1,"T’way has very racist staff! It has happened twice at different airports. They don’t greet us because we are black and then require us to wait ten minutes while we are checking in our baggage. The white foreigners aren’t allowed to do that. Last flight I had with them one of the white passengers heard the conversation between the staff in Korean that only I was required. The clerk held my baggage form and said I would only get it back in ten minutes whereas the white passenger dropped her bags and walked off! It’s 2020 and it’s very sad that people are still judging others over their skin color which is something neither of us had a say in. The one staff at Jeju airport shouted at my friend and I to wait at the yellow line for five minutes and not to leave. No other passengers were told to do so, she literally stood up to shout in front of everybody and we waited over the specified time so my friend went to the guy in the work station near her and she then said it’s fine I turned around and told her we’ve been waiting and she had not said anything! Other airlines all require your number in case “something” is wrong with your bag but T’way acts like it is airport security requiring your ARC, asking us to take off our masks and so forth! It’s disgusting and I would not recommend any black travelers to make use of this airline because they make it seem like you aren’t even paying for decent respect!"
2,The low weight requirements doesn't make sense. The cost for the luggage cost me 6 times more than the flight ticket. No help with when the next flights were canceled due to too many passengers had changed their flights due to coronavirus. I was only supposed to be in Seoul for almost 7h transit. In Fukuoka they caused so much trouble that I almost missed my flight despite getting to the airport very early. It looks like I have to be stranded at the airport for at least 4 days. Not everything was their fault but it could have been less problematic (I'm supposed to fly to Vietnam which has been some restrictions from the Vietnamese government). They didn't even offer to help. Their weird luggage requirements made me lose almost half of my luggage. Their English level is very low which makes it very frustrating. They don't feel any responsibility when they mess up things for me. I caught different staff lying to me. This isn't over yet. I have experienced some bad things with some other airlines in the past but T'way is the worst airline I have ever experienced. No other airline I have experience with has been remotely this bad before. T'way should go out of business for the best interest of any potential customer. Stay away from T'way or strongly regret your choice.
3,"T'way Air suddenly cancelled all flights from CNX to ICN starting Feb 12 to March 28 - notice was given via email one day before, on Feb 11.

They've left customers stranded in Thailand with no other alternative flight that can get us back to Seoul on the same date - and they won't even refund money unless customers manually go to cancel their booking through their awfully-designed booking system. I'm still wrestling with the system and haven't gotten my money back.

This airline is a total scam."
4,Worst customer service people. Doesn’t have empathy to guest. Simply just business minded. Flight affected by the corona virus they wouldn’t even refund. They only care about money. Dont ever choose this airline!!!!!!! They don’t deserve even A star !!!!
5,"To be sure, I haven’t flown with every airline so there could be worse ones. This airline is so petty trying to save a penny here, steal a dime there and they are not up front about costs. Their website is completely uninformative. I’ve flown with them before and they skimp on safety and training as well. I’ve already written about how the pilot aborted the take off coming out of Bangkok, blowing three of the four undercarriage tires. And then they tried to cover up what really happened with a bogus story about air conditioning malfunction.
What really irks me however is how they try to offload costs onto the environment instead of following more respectful policies. Case in point: they insist on using new paper cups, filling them less than halfway, instead of using previous ones, even when passengers request it. Their “meals” — or rather horrors in a boil-in-bag — are mostly single use plastic. What food you do actually get is inedible. I’d suggest boycotting this airline if you value your personal safety and the environment."
6,"Cost of checked luggage was not up front when purchasing tickets other than “airline may charge baggage fee. Check with airline”. One would not expect a $50 charge per bag on international flight Vietnam Air, Eva Air China Air Japan Air. ... none charged for bag
I would choose a different carrier next time"
7,T'way website indicates 1st check bag up to 15kg is free. Even when we readjusted our suitcase down to 15kg the check in attendant still charged us 4500 yen. I'm disappointed I didn't have their policy available at the time.
8,"Dear Sirs

I wish to address with you my extreme dissatisfaction with your services in general, the lack of functionality of your website and the poor service at check-in that I have received today at Incheon International Airport.

Firstly, the poor experience I received when purchasing my first ticket. According to the ticket that was produced, my flight was due to leave on 12th of October, but the dates I selected on Skyscanner.net was very clearly the 19th of October. All my attempts to log-in to your website to try and deal with this were unsuccessful, as it kept returning ""email address not found"".

Despite this, I asked my girlfriend (a native Vietnamese speaker) to call your office in Ho Chi Minh City to try to help on my behalf. The agent was unable to find any details about the flight on her system (unbelievably) and she was told that I would simply have to purchase another flight.

This I did for this evening (TW121). Again, when trying to check the baggage allowance I would be permitted, my email address (or flight reference number, or any number/name combination that I tried) was still not found. So I resorted to trying to google, with the result that it clearly says:

Baggage allowance
The maximum weight allowed is 20kg for international flights and 15kg for domestic flights. For hand baggage, you are allowed one small carry-on bag with three sides less than 115cm and lighter than 10kg.

Upon arriving at the airport, I was told that there was no luggage allowance available on my ticket, and I would have to pay the extorsionate amount of 80,000 KRW, an amount I do not have available and I have had to borrow in order to get my luggage home.

The check-in staff were completely inflexible, and refused to do anything to help me, despite admitting that I had a very valid point about the lack of functionality and just suggested contacting Trip.com (whom I purchased the ticket through).
They also refused to refund my ticket when I told them I wished to find a different airline to fly with. Had there been a direct flight to Ho Chi Minh city leaving this evening I would have gone with them. I had removed my bag from the check in counter ready to go.

I shall be informing every single travel review site that I can find of the poor service I have received. I shall never fly with you again in my entire life, and I will strongly recommend that every other person I know to avoid you."
9,"Just bee horribly let down by t'way.
We had booked tickets in Feb 2019 to travel in Sep 2019, from Seoul to Sapporo. Received a curt email from t'way on 12th Aug informing us that the flights from 16 Sept to 28 Oct have all been cancelled.
Massive panic to make new bookings with another airline, you guessed it at far greater cost.
What is the point of making a booking if t'way is simply able to cancel it without giving any form of explanation, throwing your plans into chaos.
Made the booking way in advance while we had the time to do so. Just sent half a day (I did not have to spare) and 4 times more to rearrange our plans.
I advise you avoid t'way like the plague. Disgraceful. Held our money and our hopes for 6 months to simply dump on us by means of a terse email. No explanation or apology! If you actually want to travel, do not use t'way. Zero out of 10."
