,Gender,customer_type,type_of_travel,customer_class,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,age,flight_distance,all_delay_in_minutes
90888,0,0,1,1,3,5,2,3,5,4,5,2,2,2,2,4,2,4,51,551,-7.0
81317,0,0,0,0,1,1,5,1,2,4,4,4,4,4,4,5,4,4,44,3486,-1.0
126199,0,0,1,1,2,4,2,1,4,2,1,4,5,5,5,4,4,4,40,534,0.0
87782,1,0,1,0,2,5,2,1,3,2,3,3,3,5,3,4,5,3,24,818,6.0
18148,1,1,0,0,4,0,4,2,2,4,2,2,4,2,3,4,5,2,23,984,0.0
18141,1,0,1,1,1,5,1,2,5,1,5,5,5,5,4,5,4,5,38,978,0.0
127223,1,1,0,1,1,1,1,4,4,1,2,4,1,3,3,2,4,4,9,946,-12.0
24267,0,0,1,1,4,5,4,2,4,4,4,4,3,3,5,4,5,4,10,842,-5.0
20926,0,0,1,1,1,4,1,1,2,1,2,2,3,3,4,4,4,2,12,748,0.0
61229,1,1,0,1,1,2,1,3,4,1,4,4,2,1,4,1,3,4,22,337,0.0
49273,1,0,0,0,2,2,4,2,4,3,1,5,5,4,5,5,5,4,62,3934,-11.0
77354,0,0,0,0,1,1,1,1,3,5,4,4,4,4,4,4,4,3,46,1972,-14.0
63064,1,1,0,0,3,3,3,4,2,3,1,2,1,3,4,3,3,2,48,228,-5.0
17351,1,0,0,0,2,2,2,2,5,3,4,5,5,5,5,2,5,2,43,1755,0.0
115043,1,0,1,1,3,3,3,1,1,3,1,1,2,4,4,5,4,1,11,460,0.0
87684,1,1,0,0,2,2,2,2,5,2,5,5,4,3,4,4,4,5,49,1192,16.0
41570,0,1,0,2,5,5,5,1,4,5,3,4,1,2,1,2,4,4,37,175,0.0
50009,0,0,0,0,5,5,5,5,3,4,4,4,4,4,4,5,4,5,42,3358,0.0
68694,0,0,0,0,1,1,1,1,4,4,4,5,5,5,4,4,3,4,39,663,-9.0
10415,1,0,0,0,3,3,3,3,2,5,5,5,5,4,5,3,5,5,41,998,6.0
57755,0,0,1,1,2,1,2,3,2,2,2,2,3,2,3,2,4,2,28,661,0.0
31166,1,0,0,0,4,4,4,4,3,5,4,2,2,2,2,5,2,4,41,2003,0.0
567,1,0,0,0,1,2,1,1,2,5,5,4,4,4,4,5,4,4,48,1851,0.0
86640,0,0,0,0,5,5,5,5,2,2,5,5,5,5,5,4,5,4,76,1713,-6.0
89552,0,0,0,0,4,4,4,4,3,5,4,4,4,4,4,5,4,3,39,1544,-2.0
76411,1,0,0,0,2,4,4,4,5,3,3,2,2,2,2,2,2,1,36,2166,0.0
48650,0,0,0,1,2,2,2,2,5,3,5,2,2,2,2,5,2,4,42,797,-9.0
102222,1,0,0,0,5,5,5,5,4,4,4,4,5,4,2,4,1,4,44,899,15.0
14200,1,1,0,0,3,3,3,2,5,3,5,5,5,4,5,5,4,5,38,270,-2.0
9336,0,0,1,1,4,5,4,3,3,2,3,3,3,4,2,1,3,4,42,512,0.0
83428,1,0,1,1,3,5,3,3,3,3,2,3,5,5,4,3,5,3,32,304,4.0
111602,0,0,1,1,5,4,5,3,1,5,1,1,5,2,2,2,3,1,23,1011,0.0
96411,1,0,0,1,5,2,2,2,5,5,5,5,1,5,2,4,5,5,43,955,0.0
109947,1,0,0,0,3,5,5,5,4,3,2,3,3,3,3,2,3,2,64,843,-7.0
50135,0,0,0,0,3,3,3,3,5,5,4,5,5,5,3,5,5,4,60,2573,-10.0
10994,0,0,1,1,1,5,1,2,1,5,4,5,5,1,2,2,5,5,58,936,-11.0
102830,1,0,0,0,1,1,1,1,4,5,4,5,5,5,5,3,5,4,42,2140,0.0
5661,1,0,0,0,4,4,4,4,3,4,5,5,5,5,5,4,5,4,38,3611,3.0
128385,0,0,0,1,2,1,1,1,2,2,2,2,1,2,4,1,4,2,22,667,-3.0
82710,0,1,0,1,2,2,2,3,2,2,2,2,1,2,1,2,2,2,37,1050,-3.0
90415,1,1,0,1,3,0,3,2,2,3,4,2,1,4,4,1,4,2,24,448,7.0
100595,0,0,0,0,2,2,2,2,5,5,5,5,4,2,5,3,5,5,31,481,14.0
124844,0,0,0,0,3,3,3,3,2,5,5,4,4,4,4,5,4,3,50,1090,-12.0
95453,1,0,0,0,4,4,4,4,3,3,3,3,1,4,2,5,2,3,30,752,-13.0
115776,0,0,1,1,4,4,4,2,4,4,3,4,5,3,4,3,4,4,25,967,0.0
27182,0,0,1,1,5,4,5,4,3,5,3,3,5,4,4,4,1,3,13,321,0.0
15696,1,0,0,0,2,1,1,1,1,3,3,2,2,2,2,1,2,4,36,2504,0.0
13544,0,0,0,1,4,2,2,2,5,5,1,4,4,4,4,4,4,5,47,448,-16.0
8283,1,1,0,1,3,3,3,5,5,3,5,5,4,4,2,2,5,5,25,1387,46.0
50305,0,1,0,0,1,1,1,2,5,1,5,5,5,4,5,4,4,5,45,1024,0.0
48386,0,1,0,0,2,2,2,4,2,2,2,2,4,3,5,4,5,2,29,302,0.0
108760,0,0,0,0,2,1,1,1,2,2,3,2,2,1,2,1,2,4,36,1625,0.0
61227,1,1,0,1,0,0,0,1,1,0,1,1,4,4,4,5,5,1,23,685,0.0
4797,0,0,1,1,3,5,3,1,3,3,3,3,4,3,5,4,5,3,14,283,1.0
113243,0,0,0,1,4,4,4,4,3,4,3,3,2,5,2,2,2,3,41,481,0.0
2042,1,0,0,0,5,5,5,5,5,4,4,5,5,5,5,4,5,4,52,954,0.0
70063,1,0,0,1,4,1,3,1,5,4,5,5,4,3,2,1,3,5,48,337,40.0
27301,0,0,0,1,3,3,3,3,1,4,4,3,3,3,3,2,3,4,45,680,3.0
42359,1,0,0,0,1,5,5,5,1,1,1,1,2,4,3,3,4,1,23,666,-6.0
12264,0,0,0,0,4,4,5,4,2,4,2,4,4,4,5,3,4,4,48,2958,3.0
113270,0,0,0,0,2,2,2,2,2,5,5,5,5,5,5,3,5,4,56,641,-19.0
74439,0,0,1,1,1,2,1,3,4,3,3,3,3,1,3,4,3,3,60,481,2.0
34565,1,1,0,1,3,5,3,3,3,3,5,3,4,4,4,3,3,3,62,177,11.0
49585,0,0,0,1,5,1,1,1,5,5,4,5,2,4,4,1,5,5,26,965,1.0
22586,1,0,1,1,5,5,5,4,2,5,2,2,3,5,4,4,5,2,35,248,1.0
122939,0,0,0,0,1,1,1,1,5,1,2,4,4,4,4,3,4,5,39,2928,-17.0
56025,1,0,0,1,1,2,2,2,1,1,1,1,4,2,3,4,3,1,46,957,0.0
97515,0,0,1,1,0,1,0,2,2,0,4,2,4,1,3,1,3,2,25,1183,0.0
90238,0,0,0,0,4,4,4,4,5,4,5,4,4,4,4,5,4,4,33,3404,0.0
53614,0,0,1,1,2,4,2,3,5,2,5,5,3,3,5,4,4,5,18,693,0.0
34694,1,0,0,1,2,3,3,3,2,2,2,2,4,2,3,1,4,2,70,397,0.0
16011,1,0,0,0,2,1,1,1,2,2,2,2,2,1,3,4,3,2,27,2013,-5.0
31330,0,1,0,0,3,4,3,4,3,3,3,3,4,2,5,5,4,3,25,544,0.0
60077,1,0,1,1,3,5,3,2,2,3,2,2,4,2,5,5,4,2,56,562,-2.0
85464,0,1,0,1,4,3,4,3,4,4,4,4,4,1,5,2,3,4,21,261,0.0
122036,1,0,0,0,2,2,2,2,5,4,4,5,5,5,5,5,5,5,45,1590,8.0
85930,1,0,0,1,4,3,5,5,4,5,5,4,2,1,2,1,1,4,18,946,0.0
121758,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,3,4,5,42,3010,0.0
58234,1,0,0,0,2,2,2,2,4,4,5,5,5,5,5,4,5,3,43,936,0.0
74954,0,1,0,1,1,1,1,2,2,1,2,2,3,5,2,4,3,2,24,852,-9.0
10588,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,33,630,12.0
101228,0,0,1,1,4,5,5,4,1,5,1,1,5,5,4,5,4,1,17,961,-19.0
43616,0,1,0,1,3,3,3,3,3,3,3,3,5,2,1,5,3,3,23,1498,0.0
