,satisfaction
90888,0
81317,1
126199,0
87782,0
18148,1
18141,0
127223,0
24267,1
20926,0
61229,0
49273,1
77354,1
63064,0
17351,1
115043,0
87684,0
41570,1
50009,1
68694,1
10415,1
57755,0
31166,1
567,1
86640,1
89552,1
76411,0
48650,1
102222,1
14200,0
9336,0
83428,0
111602,1
96411,1
109947,0
50135,1
10994,0
102830,1
5661,1
128385,0
82710,0
90415,0
100595,1
124844,1
95453,1
115776,0
27182,1
15696,0
13544,1
8283,0
50305,0
48386,0
108760,0
61227,1
4797,0
113243,0
2042,1
70063,0
27301,0
42359,0
12264,1
113270,1
74439,0
34565,0
49585,1
22586,1
122939,1
56025,0
97515,1
90238,1
53614,0
34694,0
16011,0
31330,0
60077,0
85464,1
122036,1
85930,1
121758,1
58234,1
74954,0
10588,0
101228,0
43616,0
119870,1
121181,0
51244,1
111644,0
19352,1
120,0
86873,0
54432,0
72330,1
4287,0
39880,0
43338,1
105836,0
114629,0
68829,1
110625,0
30514,0
114042,0
32280,0
108134,0
64711,1
36911,1
108033,0
77332,1
69790,0
103230,1
39238,0
93387,1
80769,1
91702,0
76309,0
109487,1
59437,0
32020,0
127705,0
32703,0
47478,0
68593,1
75309,0
11731,1
101447,1
5061,1
31637,0
83915,1
68304,1
3604,0
118979,1
39967,1
89063,0
23493,0
85198,0
54070,0
78598,0
2642,1
126999,1
50176,1
32491,0
46170,0
66024,1
84606,0
95890,0
81371,1
113418,0
46168,1
118223,1
50722,0
15509,1
76461,1
91984,0
94749,0
93911,0
66878,1
57711,0
31993,1
54436,0
99356,0
56109,0
85156,1
16343,0
126947,1
117337,0
121148,0
13207,0
98309,1
85789,0
19676,0
42067,1
75529,0
4978,0
34690,1
38555,1
44122,1
56502,0
128196,1
20327,1
82114,0
81622,1
77665,0
103685,0
106095,1
56950,0
94736,1
100678,1
107651,0
93548,0
81539,0
5165,1
88174,1
76045,0
8331,1
29515,0
66346,1
44745,0
70903,1
123368,1
111558,1
45252,1
26504,0
107988,1
73740,0
60166,1
85245,0
96267,0
10248,1
19763,0
99119,0
105265,1
52106,0
100714,0
15401,1
108794,1
110931,0
108858,0
126642,1
60119,0
46980,1
127875,1
27217,1
111613,0
49428,1
97660,0
94704,1
91858,0
4133,0
93914,1
122489,0
102040,0
90714,1
125692,0
107061,0
11432,1
78279,1
119371,0
61292,0
76640,0
85807,0
5826,1
22186,0
90114,1
97079,0
33501,0
53178,1
27047,1
126592,1
42725,1
123441,1
8624,1
128807,1
21504,1
30859,0
103084,0
53524,0
122990,0
11017,1
33861,1
34562,1
124269,0
28450,0
69554,0
51402,0
636,1
81183,0
100296,1
122893,0
3648,0
125938,1
950,0
79728,1
30381,0
60540,1
93974,0
118080,0
56120,1
41217,0
42893,1
92833,0
63475,1
60887,0
64600,1
86793,0
38584,0
103978,1
50257,0
17118,1
97901,0
51505,1
107728,1
93674,1
101785,1
24222,0
115732,1
2551,1
125579,0
65798,0
79755,0
60335,1
102039,0
92206,0
36156,1
120278,0
