,satisfaction
68834,0
55461,1
54667,1
63283,0
74954,0
104133,1
83176,1
23928,0
5330,1
94568,0
121693,1
83216,0
34016,0
126379,0
100243,0
93553,0
49333,1
52972,0
45024,0
116827,1
13827,0
290,0
99924,0
128296,0
69776,0
67623,1
101717,0
76003,0
9627,1
37932,1
113070,0
17525,1
50960,1
95355,1
70506,0
118883,1
121067,0
30817,0
120357,0
75931,0
117476,0
87388,0
86454,1
25467,1
24631,1
49371,0
89939,1
102970,1
65644,1
550,0
31264,0
27495,0
41964,0
64002,0
34039,1
109671,1
7560,0
107470,0
68991,0
15238,0
88300,1
13972,1
5445,0
61614,1
101270,1
120544,0
101940,1
39598,0
71630,1
65779,1
56754,1
35775,0
40419,0
101291,0
82298,1
68401,0
51180,1
24995,1
62790,0
81409,0
68371,0
54348,1
126529,0
96871,1
19370,1
72,0
64453,0
13163,1
39696,1
104644,1
50283,1
49414,0
81357,1
3862,0
45827,0
111621,1
48649,1
105095,0
79979,1
44995,0
84069,1
77583,0
60657,0
38193,1
39989,0
28236,1
63840,1
42405,1
16343,0
48071,1
119984,0
7542,1
121862,0
7972,0
11680,0
15721,1
64756,0
41785,0
45196,1
105147,1
128832,0
37188,1
21312,1
6380,0
74583,1
19121,1
82730,1
50707,1
113742,0
20043,0
23957,0
17000,0
67567,1
81434,0
57914,0
77331,0
99499,0
92058,0
42109,0
23146,0
68229,0
104244,0
72917,1
43608,1
28378,1
15160,0
126570,1
19022,1
1718,1
98130,0
114102,1
35242,1
33145,0
84042,0
80435,0
109812,0
6776,0
87168,0
74888,1
93436,0
5955,1
123682,1
88678,0
10983,1
57756,0
25978,0
38544,0
61294,1
4343,0
16429,0
75519,0
89999,0
6782,1
86166,1
81294,0
61299,0
13232,0
22710,1
52928,0
46182,1
69040,0
66700,0
26243,0
63565,1
89399,0
10714,1
80488,1
4492,1
71141,0
115916,0
74175,0
82031,1
21926,0
107848,0
75337,1
101997,1
128676,0
86977,0
78214,0
106459,1
91441,1
123301,1
90316,0
100813,1
1929,0
71764,1
54010,1
23249,1
80659,0
26991,1
96876,1
99069,1
62595,1
100433,0
77611,1
105170,1
22094,0
16326,0
89326,0
25548,1
86589,1
108229,0
60635,0
113360,1
81486,1
43627,0
98523,0
10060,0
2006,0
15697,1
29250,1
89938,0
45374,0
65361,0
71007,0
69350,1
41436,0
7520,0
118981,0
96242,1
125226,1
101059,1
36156,1
21899,1
27879,1
60181,1
105218,0
38132,0
59800,1
4996,0
62390,0
15541,0
91195,0
51348,1
37468,0
12697,0
67919,0
103442,1
110830,0
1666,1
114288,1
50912,1
121763,1
110392,0
100295,0
14645,0
77880,1
76179,1
19176,0
53580,0
93778,0
123220,0
119422,0
40002,0
41440,1
21183,0
1637,0
45342,0
5859,0
57642,0
85688,0
59479,0
80029,1
94955,0
53071,0
97424,1
45248,1
121551,0
38610,1
93399,0
21085,0
58708,0
105400,0
120065,0
26151,0
59549,0
41861,1
108791,0
49676,1
59785,0
15334,1
19984,1
27550,1
67631,0
51906,0
75465,1
50502,0
66091,1
85857,0
34450,0
17631,0
75022,1
3934,1
108947,0
45305,0
34473,0
17222,1
53689,0
91193,1
105450,0
118493,0
85850,0
59240,0
43408,1
76459,0
29185,1
105235,0
114800,0
14791,1
90493,0
73526,1
26578,1
95750,1
16954,0
29226,1
104428,0
20365,0
64011,0
37886,1
125515,1
18364,1
114523,0
62259,0
100152,0
121331,0
52442,0
24924,0
75084,1
17258,0
13104,1
14601,0
118868,1
67021,0
14649,0
17479,1
54793,0
122327,1
93930,0
108900,1
110714,1
7127,0
107629,0
7690,0
63924,1
66741,1
104363,1
103093,0
31212,0
127706,0
79488,1
14455,0
88794,1
115262,0
63569,0
112786,0
86907,1
44811,0
70500,1
32828,0
71477,0
110233,0
54390,0
40374,1
6749,0
96832,1
71755,0
86511,0
126577,0
62762,0
36234,1
61438,1
40780,0
121755,1
109192,0
71880,0
89727,0
11739,1
74036,1
15792,1
120352,0
43843,0
7017,1
108622,1
55703,0
114371,0
14259,1
103700,1
89049,1
44292,0
45558,0
92863,0
112700,0
40654,1
58235,1
54036,0
68654,0
93135,1
16753,1
41564,1
124927,0
58132,0
100422,1
128799,1
41349,0
107746,0
42006,1
112975,1
56363,0
7658,0
96317,1
1320,0
54349,1
73657,1
48882,0
64064,1
24323,0
13295,0
110704,0
86580,0
122254,0
92902,0
27667,1
60508,0
116741,0
76382,0
108372,1
123804,1
118727,1
49665,0
100038,0
92488,0
61211,1
74091,0
98275,1
120302,0
47780,0
97385,1
6604,0
16994,1
4469,1
43990,1
108161,0
69102,0
96238,0
19429,1
66784,1
125606,1
50242,0
11668,0
28784,0
108655,1
93473,0
51157,0
51840,0
52127,0
116374,0
13060,1
110197,0
113026,0
126972,1
30941,1
123805,1
56072,0
84684,0
101951,1
31505,0
13176,1
8504,0
74700,0
16838,0
125877,0
39015,0
4978,0
19872,1
55731,1
60985,1
121321,1
122067,0
118887,1
105686,0
70978,1
111666,0
123330,1
113581,1
14562,0
93764,0
83713,0
120229,0
99781,0
7981,0
35129,0
30698,1
7550,0
77675,0
6567,1
126197,1
127038,1
17579,1
