,satisfaction
57518,0
36544,0
94450,0
9230,1
59857,0
64791,0
103524,1
100927,1
64274,1
10292,0
11144,1
53054,1
48882,0
91708,1
44740,1
100637,0
92551,1
72092,0
126009,0
34218,0
119070,1
115502,0
59800,1
117199,0
26942,1
108359,0
6433,0
122676,0
95520,0
103437,1
90141,0
52058,0
118907,0
30207,0
33012,0
128386,1
14186,1
21717,1
93866,0
124028,0
54847,0
127021,0
12600,0
17612,1
98823,0
50750,1
62911,0
62714,0
124776,0
89620,0
32386,0
17200,0
34751,1
38321,0
56809,0
71791,0
102852,1
12129,1
1774,1
100079,0
24685,0
79494,0
65405,1
14732,1
39656,1
102696,1
110574,0
87859,0
57791,1
116564,1
105272,0
87342,1
91732,1
110092,0
57419,0
1319,1
129439,0
111177,0
102743,0
117991,0
44967,1
110414,0
118475,0
18414,0
102641,0
88454,1
23523,1
1369,0
72578,1
33418,1
78444,1
60140,0
31114,0
54364,0
116804,0
115186,0
19331,1
51615,0
83248,1
32436,1
59049,0
10883,0
20969,0
73983,1
121641,0
23664,0
117996,0
55293,1
78360,1
75116,1
74389,0
13952,1
38586,1
79569,0
23543,0
62348,0
34713,1
93389,0
30633,0
40394,0
129433,1
27397,0
75145,0
72512,0
53203,0
102877,0
75713,0
39370,0
89611,1
93410,1
13942,0
49770,0
6213,0
6452,1
129328,0
126710,1
86029,0
109977,0
7460,1
107190,0
109202,0
35532,1
1379,0
118225,0
50915,1
50300,0
105516,0
56505,1
69086,0
111762,0
97583,1
34380,1
9584,1
35795,0
16984,0
118645,0
108466,1
73480,1
28324,1
67472,0
47925,0
61867,0
66712,1
119865,1
74322,1
124215,0
107756,0
48892,0
101442,1
99010,1
72909,0
119405,0
26315,0
56723,0
40041,1
5256,0
70004,0
85592,0
25704,0
44066,1
19700,1
98427,0
1726,0
89510,1
80573,1
89308,0
73267,1
37165,1
59022,0
33073,0
85867,0
64580,1
30129,1
59177,0
30449,0
37153,1
85287,0
104068,1
69661,0
32334,1
38158,0
26015,1
55971,0
22063,0
120260,0
121786,0
43603,1
71753,0
46297,1
39799,1
25804,1
10505,1
68893,0
72258,0
13832,1
102860,1
513,1
111941,0
67544,1
42470,0
85280,1
105002,1
121663,1
38042,0
65577,0
13571,0
106,0
53022,0
85289,1
78054,0
100370,1
53929,0
1838,1
127918,1
90342,1
46100,1
10640,1
81556,1
86105,0
113803,1
61342,0
37386,1
65733,0
78897,1
91081,0
53817,0
26714,1
20067,1
121086,1
87992,1
41482,1
123158,1
109944,1
53008,1
66515,0
86213,0
37710,1
115944,0
84101,0
75192,0
52161,1
67833,1
54141,1
48780,0
88098,1
112369,1
67239,1
45067,0
111736,1
97715,0
23461,0
49301,0
103219,1
42145,0
35745,0
27149,1
18689,0
85307,0
110904,1
109981,0
90514,0
75985,0
74131,0
77184,1
50519,1
147,1
103611,1
28576,0
38565,1
102152,0
62219,1
68502,1
11614,1
41877,0
127334,1
63341,1
125004,0
111831,1
72245,0
103732,0
94256,0
114048,0
47419,0
14692,1
77345,0
68022,1
40593,0
102088,0
53801,1
51005,0
78835,0
10984,0
54336,0
34773,0
89482,0
44257,1
1547,0
100333,1
121291,0
105914,1
60184,0
50580,0
98107,0
77910,1
94906,1
107999,0
75527,1
13707,0
6638,1
56493,0
100624,0
85850,0
89648,1
9767,1
106032,1
51130,1
55486,0
94956,0
28679,0
109789,1
82083,1
60573,1
52421,0
37936,0
1156,0
16818,1
84273,0
88854,0
66395,1
106064,1
98134,1
26937,1
14629,0
53057,1
67838,1
104950,0
98727,0
101493,1
60163,0
71890,1
30001,0
1056,0
34814,1
29533,0
13415,0
111212,1
42502,1
88810,0
69780,0
111771,0
33393,1
57090,1
1769,0
108443,0
37597,0
99047,0
100877,0
57827,0
61431,1
58217,1
55289,0
100115,0
64563,1
58504,1
89687,1
81875,0
117815,0
46518,1
98628,1
114085,1
102444,1
3660,0
124741,0
21441,0
118163,0
22046,1
52623,1
116107,1
25881,0
102823,1
76435,1
72707,1
16793,0
18470,0
112896,0
125259,1
113499,0
88756,0
8563,1
89368,0
71348,0
95576,1
76371,0
77752,1
115283,1
54680,0
73271,0
47170,1
64673,1
4547,1
93199,0
1334,0
78097,0
48240,0
125854,0
80590,0
89903,1
29749,0
107830,0
113255,1
125863,1
8565,1
57636,0
77225,1
106998,0
115519,0
5766,1
104899,1
108566,1
84278,0
100171,0
67949,1
117610,0
128838,0
18756,1
84264,1
86370,0
38659,0
27370,0
110822,1
83703,1
